"NUMERO_CUENTA","NOMBRE_MENU","NOMBRE_RESTAURANTE","CANTIDAD","ENTREGADO"
"6272388612","text books","Rhyloo",16,"0"
"4225798097","came where","Nlounge",19,"1"
"9163011438","many automatically","Nlounge",11,"1"
"7352769285","end hold","Nlounge",1,"0"
"2731902628","died when","Nlounge",14,"1"
"5803181479","text pull","Nlounge",14,"1"
"5534500344","interest to","Nlounge",14,"1"
"8792108030","many automatically","Nlounge",4,"1"
"8732167669","sidekick to","Nlounge",17,"1"
"0726288011","library end","Nlounge",9,"0"
"7326051789","people ends","Nlounge",18,"1"
"2200558597","pique crash","Nlounge",9,"0"
"0344665278","pique crash","Nlounge",9,"1"
"5951661975","many automatically","Nlounge",9,"0"
"2441441559","sofa warp","Nlounge",5,"1"
"7389643129","always ghost","Nlounge",13,"0"
"3087626436","ship worn","Nlounge",10,"1"
"4791469246","trying should","Nlounge",14,"0"
"6292124818","television red","Nlounge",6,"0"
"2703811100","end hold","Nlounge",19,"0"
"6322262881","computer dad","Nlounge",15,"1"
"1018384362","headphones monster","Nlounge",16,"1"
"3005633977","on write","Nlounge",16,"1"
"3517213124","died when","Nlounge",13,"1"
"9536377764","plane rescue","Nlounge",12,"1"
"8292392800","write list","Brainsphere",14,"0"
"7895435176","want lock","Brainsphere",19,"0"
"0980168396","many cold","Brainsphere",6,"0"
"7803659939","moved ends","Brainsphere",16,"1"
"8274537421","list is","Brainsphere",4,"0"
"7542094882","list is","Brainsphere",3,"1"
"8173312076","computer sofa","Brainsphere",2,"1"
"4334351482","light sidekick","Brainsphere",9,"0"
"6213340001","discovered magnetic","Brainsphere",1,"1"
"9426101626","sofa warp","Nlounge",2,"1"
"3901247786","a ends","Nlounge",4,"0"
"0664342713","web good","Nlounge",5,"0"
"8617247193","list island","Nlounge",4,"0"
"6614168553","man boon","Nlounge",11,"0"
"8016743669","want plane","Nlounge",19,"0"
"2643864221","smoke something","Nlounge",3,"1"
"3639202677","ball its","Nlounge",17,"0"
"9168567409","rabbit rescue","Nlounge",6,"1"
"8380859654","speed days","Nlounge",10,"1"
"9042653567","came this","Nlounge",8,"1"
"0077917792","web good","Nlounge",11,"0"
"1878391743","library end","Nlounge",7,"1"
"4852018567","man boon","Nlounge",16,"1"
"0438482551","much show","Nlounge",3,"1"
"5491994011","hot interest","Nlounge",7,"1"
"1069653684","ship with","Nlounge",1,"1"
"2223814936","headphones monster","Nlounge",13,"0"
"3692980435","banging many","Nlounge",16,"1"
"7724871336","hid sits","Nlounge",12,"0"
"3995567508","boon find","Nlounge",3,"1"
"8408445118","computer dad","Nlounge",8,"1"
"4225798097","ending probably","Nlounge",19,"1"
"2636679819","magnetic keys","Nlounge",7,"0"
"0344665278","headphones will","Nlounge",17,"0"
"7974429886","want plane","Nlounge",18,"0"
"5851214264","moved ball","Nlounge",10,"1"
"7558795138","web on","Nlounge",5,"1"
"1351405532","caves show","Nlounge",14,"0"
"5110589770","world handled","Nlounge",2,"0"
"5634601928","what find","Nlounge",17,"1"
"4013532686","magnetic keys","Nlounge",6,"1"
"7806090911","smoke something","Nlounge",5,"1"
"8607661026","trying should","Nlounge",12,"0"
"2649689913","came this","Nlounge",9,"1"
"7326051789","probably days","Nlounge",3,"1"
"0344665278","probably days","Nlounge",18,"0"
"1018384362","captain television","Nlounge",6,"1"
"3864260369","ending probably","Nlounge",2,"0"
"6536184529","words man","Nlounge",9,"0"
"7542094882","light throw","Nlounge",8,"0"
"7724871336","demanded monster","Nlounge",16,"1"
"4575172449","television red","Nlounge",19,"1"
"7648019545","light throw","Nlounge",15,"0"
"3104167057","trying open","Nlounge",3,"1"
"6042225524","hot dad","Nlounge",14,"1"
"4743374284","computer dad","Nlounge",8,"1"
"5512538989","ending are","Nlounge",2,"0"
"3170498518","good no","Nlounge",6,"0"
"7352769285","days lock","Nlounge",11,"1"
"3814199672","light throw","Nlounge",7,"1"
"5491775036","I wicket","Nlounge",10,"0"
"3275919410","banging many","Nlounge",9,"1"
"7515847038","shepherd rabbit","Nlounge",19,"1"
"2438554300","ending are","Nlounge",4,"0"
"3875548605","web on","Nlounge",9,"1"
"5699300755","others else","Nlounge",17,"0"
"0150088625","of headphones","Nlounge",10,"0"
"4027031044","had headphones","Kanoodle",19,"0"
"0169774852","was generated","Kanoodle",14,"0"
"1351713274","boon text","Kanoodle",19,"0"
"8853368630","code in","Kanoodle",11,"1"
"9227355405","or its","Kanoodle",7,"0"
"9624308479","when sofa","Kanoodle",5,"1"
"7861558297","smoke I","Kanoodle",15,"1"
"4183911928","computer probably","Kanoodle",13,"0"
"9966725306","fire came","Quatz",18,"0"
"2262836851","fire warp","Quatz",4,"1"
"4108415469","where find","Quatz",19,"0"
"4384174817","text this","Quatz",19,"0"
"2929287863","its list","Quatz",2,"0"
"7027543792","ill boon","Quatz",1,"1"
"2962211911","pique this","Quatz",5,"0"
"0337824469","have with","Quatz",5,"1"
"5910291767","trying should","Nlounge",14,"0"
"6286627247","rescue many","Nlounge",10,"1"
"8965429684","want white","Nlounge",4,"0"
"3436933694","I lots","Nlounge",16,"0"
"2699371513","banging many","Nlounge",3,"0"
"9895791457","a ends","Nlounge",14,"1"
"7733083964","boon find","Nlounge",12,"0"
"6328766983","red rabbit","Nlounge",16,"0"
"9536377764","sits caves","Nlounge",9,"1"
"9189800537","when light","Nlounge",10,"1"
"0020221190","wrong on","Nlounge",18,"1"
"4756411013","pique was","Nlounge",8,"0"
"2897275684","red trees","Nlounge",17,"1"
"5885024547","demanded monster","Nlounge",15,"0"
"7300288309","ball its","Nlounge",12,"1"
"6165841112","hold worn","Nlounge",7,"0"
"6408258989","from sofa","Nlounge",12,"0"
"6518226122","out many","Nlounge",16,"0"
"5885024547","library end","Nlounge",8,"0"
"6322262881","a ends","Nlounge",14,"1"
"9454703079","of headphones","Nlounge",6,"1"
"5868758315","ship with","Nlounge",11,"0"
"1248885055","had much","Nlounge",17,"1"
"0700376095","pique was","Nlounge",3,"1"
"5714021133","interest to","Nlounge",16,"0"
"0664342713","probably no","Nlounge",7,"1"
"2865948158","trees write","Nlounge",2,"1"
"3508636659","window wicket","Nlounge",17,"1"
"1262754411","ending probably","Nlounge",15,"1"
"3630854804","plane rescue","Nlounge",1,"0"
"5581306550","write worn","Nlounge",3,"0"
"0491888397","found came","Nlounge",3,"0"
"8894124353","hot dad","Nlounge",7,"0"
"4243418932","handled handled","Topicstorm",14,"0"
"6739168719","pull write","Topicstorm",3,"1"
"0645740284","code magnetic","Topicstorm",9,"0"
"2867824928","others light","Topicstorm",3,"0"
"2643864221","others or","Topicstorm",11,"1"
"0246021105","lots leader","Topicstorm",14,"1"
"6546214392","books end","Topicstorm",16,"1"
"2485229316","from ill","Topicstorm",5,"0"
"2243525009","hat discovered","Nlounge",17,"1"
"9644338411","my pull","Nlounge",17,"0"
"5896672335","rescue many","Nlounge",1,"1"
"8827839221","had much","Nlounge",3,"0"
"7502487152","speed days","Nlounge",6,"0"
"6810575222","rabbit rescue","Nlounge",7,"1"
"7406424216","want plane","Nlounge",10,"0"
"8380859654","lock was","Nlounge",5,"1"
"8408620252","probably no","Nlounge",17,"1"
"9605187851","pique open","Skipstorm",1,"0"
"8344792320","from what","Skipstorm",14,"1"
"8882357067","ship hold","Skipstorm",8,"1"
"7134469093","show boon","Skipstorm",5,"0"
"6440075700","good it","Skipstorm",2,"1"
"7648127152","caves assert","Skipstorm",14,"0"
"8739122964","took will","Skipstorm",5,"1"
"5802203855","sill as","Skipstorm",11,"0"
"3743254191","fire show","Skipstorm",5,"0"
"3810607432","ghost library","Nlounge",15,"1"
"9095959717","cold always","Nlounge",3,"0"
"9143200029","much show","Nlounge",7,"0"
"9568431947","probably no","Nlounge",1,"1"
"5171390738","in from","Nlounge",10,"1"
"3806192771","demanded monster","Nlounge",4,"1"
"7946880180","I lots","Nlounge",10,"1"
"1370853348","moved ball","Nlounge",12,"1"
"8739847005","I it","Browsedrive",2,"0"
"1399867559","they came","Browsedrive",2,"1"
"3197390001","books enter","Browsedrive",6,"1"
"7805657470","others captain","Browsedrive",18,"0"
"2962211911","died my","Browsedrive",9,"1"
"1348059899","asked crash","Browsedrive",17,"1"
"3454303713","they came","Browsedrive",6,"0"
"2865948158","where will","Browsedrive",1,"0"
"9899593627","wrong caves","Browsedrive",3,"0"
"3293257742","hot interest","Nlounge",8,"0"
"0160069750","ending are","Nlounge",6,"0"
"1981716265","are what","Nlounge",4,"0"
"9095959717","generated should","Nlounge",17,"0"
"9128438040","fire had","Nlounge",14,"0"
"4083235142","others have","Nlounge",17,"0"
"1571715746","sofa warp","Nlounge",13,"1"
"2124926865","they island","Nlounge",18,"1"
"4710981589","ghost people","Nlounge",2,"0"
"9568431947","red trees","Nlounge",12,"0"
"0380834472","hold worn","Nlounge",4,"0"
"7912818194","plane rescue","Nlounge",8,"1"
"5073598870","ship worn","Nlounge",8,"1"
"7898245967","are what","Nlounge",14,"1"
"6403694678","smoke something","Nlounge",3,"1"
"2979855793","in monster","Nlounge",6,"1"
"5982708091","hot interest","Nlounge",1,"1"
"7300288309","people ends","Nlounge",15,"1"
"7601198302","I lots","Nlounge",7,"0"
"0344665278","to open","Nlounge",16,"0"
"9767464387","we or","Nlounge",11,"1"
"6467544352","ship worn","Nlounge",10,"0"
"1257954740","list island","Nlounge",15,"1"
"6307467498","they island","Nlounge",4,"1"
"7794452554","words man","Nlounge",18,"1"
"2844874710","else show","Nlounge",1,"0"
"5885024547","web on","Nlounge",6,"1"
"1399867559","what find","Nlounge",11,"1"
"4446000843","ghost library","Nlounge",17,"1"
"8732167669","had much","Nlounge",1,"1"
"3139018886","when light","Nlounge",1,"0"
"9679452312","moved ball","Nlounge",16,"1"
"8198362489","who write","Nlounge",18,"1"
"1081632196","cold always","Nlounge",9,"0"
"8603346034","else show","Nlounge",9,"0"
"6426332421","light throw","Nlounge",3,"0"
"7409074337","ball its","Nlounge",16,"0"
"5065640284","probably no","Nlounge",16,"0"
"1878391743","suspense we","Nlounge",1,"0"
"7956172248","I lots","Nlounge",5,"0"
"5071275037","should with","Nlounge",16,"1"
"9568431947","words headphones","Nlounge",10,"0"
"1690616144","cold hold","Dabtype",17,"1"
"3153315952","boon hold","Dabtype",8,"0"
"5491994011","always room","Dabtype",2,"0"
"5321406368","lock in","Dabtype",11,"0"
"7406424216","automatically dad","Dabtype",13,"1"
"9168567409","cold ghost","Dabtype",10,"0"
"7912818194","where sidekick","Dabtype",4,"1"
"7341860862","we badly","Dabtype",8,"0"
"8107443178","else show","Nlounge",18,"0"
"5885024547","want plane","Nlounge",6,"1"
"4422999796","ship with","Nlounge",3,"0"
"0635920025","days lock","Nlounge",19,"0"
"2867824928","sofa warp","Nlounge",11,"0"
"4642837625","monster computer","Nlounge",19,"1"
"0548977215","from sofa","Nlounge",16,"0"
"9479036547","died when","Nlounge",17,"0"
"4069025669","generated while","Nlounge",11,"0"
"4886765949","lock was","Nlounge",18,"1"
"5507918034","are what","Nlounge",2,"0"
"8623978246","sits caves","Nlounge",4,"0"
"6233266329","have to","Nlounge",7,"0"
"41","in from","Nlounge",15,"1"
"42","lock was","Nlounge",3,"1"
"43","on write","Nlounge",9,"1"
"44","sofa warp","Nlounge",19,"0"
"45","days lock","Nlounge",8,"1"
"46","wrong on","Nlounge",7,"0"
"47","have to","Nlounge",19,"1"
"48","text pull","Nlounge",8,"0"
"49","rescue many","Nlounge",6,"0"
"50","shepherd rabbit","Nlounge",5,"0"
"51","man boon","Nlounge",3,"0"
"52","good no","Nlounge",2,"1"
"53","rabbit rescue","Nlounge",6,"1"
"54","cold always","Nlounge",4,"1"
"55","died when","Nlounge",5,"1"
"56","want white","Nlounge",6,"1"
"57","speed days","Nlounge",15,"0"
"58","days lock","Nlounge",10,"1"
"59","trees write","Nlounge",13,"0"
"60","it white","Nlounge",12,"0"
"61","always ghost","Nlounge",1,"0"
"62","it library","Nlounge",17,"1"
"63","want white","Nlounge",16,"1"
"64","cold always","Nlounge",19,"0"
"65","want white","Nlounge",17,"0"
"66","probably days","Nlounge",15,"1"
"67","hot dad","Nlounge",4,"0"
"68","probably no","Nlounge",4,"1"
"69","was from","Nlounge",9,"1"
"70","rescue many","Nlounge",13,"0"
"71","lock was","Nlounge",19,"1"
"72","write worn","Nlounge",15,"1"
"73","write worn","Nlounge",11,"1"
"74","web on","Nlounge",19,"1"
"75","fire had","Nlounge",19,"0"
"76","came where","Nlounge",7,"0"
"77","ship worn","Nlounge",11,"0"
"78","monster computer","Nlounge",4,"0"
"79","trying open","Nlounge",17,"0"
"80","much show","Nlounge",5,"0"
"81","trees much","Nlounge",16,"0"
"82","we or","Nlounge",19,"0"
"83","caves show","Nlounge",16,"0"
"84","on text","Nlounge",15,"1"
"85","people ends","Nlounge",10,"0"
"86","trying should","Nlounge",6,"0"
"87","light throw","Nlounge",6,"1"
"88","trees write","Nlounge",10,"1"
"89","others have","Nlounge",6,"1"
"90","smoke something","Nlounge",19,"0"
"91","text pull","Nlounge",18,"0"
"92","want plane","Nlounge",17,"1"
"93","television red","Nlounge",19,"1"
"94","boon find","Nlounge",10,"0"
"95","window when","LiveZ",15,"0"
"96","pull I","LiveZ",13,"1"
"97","visions man","LiveZ",17,"1"
"98","window have","LiveZ",14,"1"
"100","island television","LiveZ",18,"0"
"101","trying hold","LiveZ",17,"0"
"102","it smoke","LiveZ",13,"0"
"103","window have","LiveZ",6,"0"
"104","it white","Nlounge",2,"1"
"105","should with","Nlounge",19,"1"
"106","fire had","Nlounge",18,"0"
"107","hat discovered","Nlounge",12,"1"
"108","good no","Nlounge",1,"0"
"109","demanded monster","Nlounge",18,"1"
"110","we or","Nlounge",9,"1"
"111","sidekick to","Nlounge",12,"1"
"112","lock write","Nlounge",6,"0"
"113","are good","Nlounge",6,"1"
"114","else show","Nlounge",18,"0"
"115","others have","Nlounge",4,"0"
"116","rabbit rescue","Nlounge",18,"1"
"117","hot interest","Nlounge",11,"1"
"118","was from","Nlounge",16,"1"
"119","headphones will","Nlounge",3,"1"
"120","generated while","Nlounge",8,"0"
"121","in from","Nlounge",5,"1"
"122","hold worn","Nlounge",17,"1"
"123","died when","Nlounge",2,"0"
"124","in monster","Nlounge",13,"0"
"125","ship worn","Nlounge",4,"1"
"126","library end","Nlounge",14,"0"
"127","generated should","Nlounge",11,"1"
"128","computer dad","Nlounge",9,"0"
"129","others else","Nlounge",8,"0"
"130","we or","Nlounge",5,"1"
"131","captain television","Nlounge",7,"1"
"132","ball its","Nlounge",19,"1"
"133","fire had","Nlounge",2,"1"
"134","shepherd so","Nlounge",10,"0"
"135","ghost people","Nlounge",13,"1"
"136","trying should","Nlounge",4,"0"
"137","shepherd so","Nlounge",17,"1"
"138","fire had","Nlounge",8,"1"
"139","probably else","Nlounge",7,"1"
"140","trees write","Nlounge",13,"0"
"141","demanded monster","Nlounge",9,"1"
"142","light I","Nlounge",11,"0"
"143","pique was","Nlounge",18,"1"
"144","hold worn","Nlounge",18,"1"
"145","found came","Nlounge",15,"0"
"146","man boon","Nlounge",12,"0"
"147","else show","Nlounge",6,"0"
"148","captain television","Nlounge",7,"1"
"149","caves show","Nlounge",8,"1"
"150","demanded monster","Nlounge",11,"0"
"151","red rabbit","Nlounge",12,"1"
"152","a ends","Nlounge",15,"0"
"153","find hold","Nlounge",18,"0"
"154","hot dad","Nlounge",18,"1"
"155","a ends","Nlounge",5,"0"
"156","window wicket","Nlounge",13,"0"
"157","died through","Nlounge",19,"1"
"158","we or","Nlounge",11,"1"
"159","lots text","Nlounge",7,"0"
"160","ball its","Nlounge",11,"0"
"161","had much","Nlounge",15,"0"
"162","hot interest","Nlounge",1,"0"
"163","found came","Nlounge",17,"1"
"164","trying open","Nlounge",15,"1"
"165","was from","Nlounge",12,"0"
"166","cold always","Nlounge",11,"0"
"167","probably else","Nlounge",16,"1"
"168","my pull","Nlounge",5,"1"
"169","words headphones","Nlounge",19,"1"
"170","what find","Nlounge",17,"0"
"171","hot dad","Nlounge",8,"0"
"172","find hold","Nlounge",10,"0"
"173","have to","Nlounge",19,"0"
"174","web out","Nlounge",15,"1"
"175","in from","Nlounge",18,"0"
"176","badly when","Nlounge",13,"0"
"177","suspense we","Nlounge",6,"0"
"178","shepherd rabbit","Nlounge",9,"1"
"179","television red","Nlounge",4,"0"
"180","words headphones","Nlounge",15,"0"
"181","found came","Nlounge",12,"0"
"182","wrong on","Nlounge",9,"1"
"183","interest enter","Nlounge",15,"1"
"184","generated while","Nlounge",17,"1"
"185","end hold","Nlounge",4,"1"
"186","rabbit rescue","Nlounge",12,"1"
"187","found came","Nlounge",18,"1"
"188","lots text","Nlounge",19,"0"
"189","library end","Nlounge",8,"0"
"190","trees write","Nlounge",12,"1"
"191","web good","Nlounge",17,"0"
"192","open through","Nlounge",5,"1"
"193","ship with","Nlounge",10,"1"
"194","web out","Nlounge",18,"0"
"195","interest to","Nlounge",11,"1"
"196","warp pull","Nlounge",9,"0"
"197","trying open","Nlounge",16,"1"
"198","warp pull","Nlounge",2,"0"
"199","what find","Nlounge",12,"0"
"200","it library","Nlounge",13,"0"
"201","crash lots","Nlounge",16,"1"
"202","open through","Nlounge",11,"0"
"203","open through","Nlounge",6,"0"
"204","badly when","Nlounge",5,"1"
"205","I lots","Nlounge",19,"0"
"206","ghost people","Nlounge",17,"0"
"207","are what","Nlounge",7,"1"
"208","lots text","Nlounge",13,"1"
"209","days lock","Nlounge",15,"1"
"210","write ship","Nlounge",17,"0"
"211","hot dad","Nlounge",2,"1"
"212","man days","Nlounge",18,"1"
"213","badly when","Nlounge",7,"0"
"214","moved ball","Nlounge",19,"1"
"215","it white","Nlounge",12,"0"
"216","it library","Nlounge",9,"1"
"217","always ghost","Nlounge",7,"1"
"218","list island","Nlounge",6,"0"
"219","probably days","Nlounge",11,"0"
"220","lock was","Nlounge",14,"1"
"221","on write","Nlounge",2,"1"
"222","cold always","Nlounge",15,"1"
"223","in from","Nlounge",4,"1"
"224","to open","Nlounge",12,"1"
"225","red trees","Nlounge",3,"0"
"226","in monster","Nlounge",3,"1"
"227","world handled","Nlounge",19,"0"
"228","probably days","Nlounge",9,"1"
"229","plane rescue","Nlounge",16,"0"
"230","pique crash","Nlounge",16,"0"
"231","headphones will","Nlounge",17,"0"
"232","lock write","Nlounge",17,"0"
"233","lots text","Nlounge",5,"0"
"234","people ends","Nlounge",18,"0"
"235","in from","Nlounge",1,"0"
"236","magnetic keys","Nlounge",16,"1"
"237","world handled","Nlounge",9,"1"
"238","monster computer","Nlounge",16,"1"
"239","came where","Nlounge",16,"1"
"240","probably no","Nlounge",5,"0"
"241","ending probably","Nlounge",17,"1"
"242","who write","Nlounge",17,"0"
"243","write worn","Nlounge",19,"1"
"244","interest enter","Nlounge",9,"0"
"245","others else","Nlounge",13,"1"
"246","interest to","Nlounge",5,"1"
"247","days lock","Nlounge",12,"0"
"248","trying open","Nlounge",1,"0"
"249","it library","Nlounge",5,"1"
"250","pique crash","Nlounge",13,"1"
"251","to open","Nlounge",16,"1"
"252","web out","Nlounge",2,"1"
"253","demanded monster","Nlounge",17,"0"
"254","found came","Nlounge",6,"0"
"255","of headphones","Nlounge",5,"1"
"256","rabbit rescue","Nlounge",8,"1"
"257","probably days","Nlounge",19,"0"
"258","magnetic keys","Nlounge",10,"0"
"259","came where","Nlounge",16,"1"
"260","boon find","Nlounge",7,"1"
"261","on write","Nlounge",7,"0"
"5711686030","trying should","Nlounge",5,"0"
"262","want plane","Nlounge",5,"0"
"263","interest enter","Nlounge",18,"1"
"264","man boon","Nlounge",2,"1"
"265","a ends","Nlounge",7,"0"
"266","probably no","Nlounge",17,"0"
"267","want plane","Nlounge",8,"0"
"268","had much","Nlounge",8,"1"
"269","trees write","Nlounge",13,"0"
"270","banging many","Nlounge",13,"1"
"271","red trees","Nlounge",18,"0"
"272","pique crash","Nlounge",11,"1"
"273","have to","Nlounge",11,"1"
"274","hid sits","Nlounge",10,"0"
"275","took where","Gabspot",19,"1"
"276","where to","Gabspot",2,"1"
"277","others no","Gabspot",17,"0"
"278","island red","Gabspot",7,"0"
"279","headphones are","Gabspot",16,"1"
"280","island the","Gabspot",11,"1"
"281","took generated","Gabspot",1,"1"
"282","build no","Gabspot",7,"0"
"283","boon a","Gabspot",14,"1"
"284","open through","Nlounge",18,"1"
"285","died through","Nlounge",2,"0"
"286","cold always","Nlounge",17,"1"
"287","headphones will","Nlounge",6,"1"
"288","suspense we","Nlounge",11,"0"
"289","lots text","Nlounge",3,"1"
"290","ghost library","Nlounge",1,"1"
"291","was from","Nlounge",17,"1"
"292","always ghost","Nlounge",10,"0"
"293","wicket cold","Oyoyo",11,"0"
"294","monster moved","Oyoyo",9,"0"
"295","man web","Oyoyo",1,"1"
"296","list days","Oyoyo",8,"0"
"297","others many","Oyoyo",11,"0"
"298","when worn","Oyoyo",9,"1"
"299","leader pique","Oyoyo",18,"0"
"300","handled lost","Oyoyo",7,"0"
"301","text took","Oyoyo",11,"0"
"302","open something","Agivu",9,"1"
"303","smoke through","Agivu",7,"1"
"304","find build","Agivu",15,"0"
"8380859654","have probably","Demivee",6,"0"
"9911908429","caves cold","Demivee",2,"1"
"0366037425","red trying","Demivee",4,"1"
"9061807170","so it","Demivee",12,"0"
"4756411013","speed to","Demivee",6,"1"
"7953424305","they ill","Demivee",5,"1"
"8550288913","hatch about","Demivee",11,"0"
"8260426831","found want","Demivee",19,"0"
"4804161418","keys wrong","Demivee",18,"1"
"0988246370","write ship","Nlounge",13,"1"
"2440765622","of headphones","Nlounge",17,"1"
"4928682077","always ghost","Nlounge",16,"1"
"2114250886","sidekick to","Nlounge",8,"1"
"3293257742","in from","Nlounge",16,"1"
"5349479782","days lock","Nlounge",11,"1"
"5910291767","ghost library","Nlounge",10,"0"
"8400559518","are good","Nlounge",19,"0"
"6810575222","sits caves","Nlounge",10,"0"
"0150088625","trees write","Nlounge",18,"0"
"9633174897","rescue many","Nlounge",5,"1"
"1878391743","probably no","Nlounge",19,"1"
"1348059899","ship with","Nlounge",3,"0"
"6565597767","came where","Nlounge",15,"1"
"5542004309","it white","Nlounge",17,"1"
"3468039751","words headphones","Nlounge",1,"1"
"6672108034","web out","Nlounge",11,"1"
"1387262825","died through","Nlounge",1,"1"
"9382266629","badly when","Nlounge",9,"1"
"7516240420","always ghost","Nlounge",1,"1"
"9846750526","waited show","Nlounge",2,"0"
"7068145492","boon find","Nlounge",2,"0"
"8792108030","came where","Nlounge",15,"1"
"3054074326","trying should","Nlounge",1,"0"
"8166150627","on write","Nlounge",11,"0"
"4207017308","people who","Quatz",9,"1"
"3657339451","red was","Quatz",16,"1"
"2972364185","as found","Quatz",9,"0"
"6288547383","ball caves","Quatz",3,"0"
"7613465683","text people","Quatz",3,"0"
"5915184812","constantly code","Quatz",15,"1"
