"ID_BAR","ID_BEBEDOR","HORARIO","FECHA_ULTIMA_VISITA"
3,904,"todos",24-AUG-11
33,500,"nocturno",18-AUG-11
29,745,"nocturno",19-AUG-11
23,428,"nocturno",02-SEP-11
14,402,"diurno",13-SEP-11
56,678,"nocturno",19-SEP-11
12,630,"diurno",03-SEP-11
25,887,"todos",02-SEP-11
1,329,"todos",06-SEP-11
6,553,"diurno",08-SEP-11
18,110,"todos",20-AUG-11
56,782,"diurno",14-SEP-11
17,115,"todos",25-SEP-11
33,716,"todos",21-AUG-11
42,535,"nocturno",21-AUG-11
46,511,"nocturno",16-AUG-11
50,67,"diurno",02-SEP-11
30,164,"nocturno",16-AUG-11
4,569,"nocturno",13-SEP-11
56,814,"todos",30-AUG-11
8,617,"diurno",18-AUG-11
17,863,"todos",09-SEP-11
3,592,"nocturno",18-AUG-11
3,806,"nocturno",16-SEP-11
44,370,"diurno",26-SEP-11
1,671,"nocturno",19-AUG-11
6,221,"nocturno",02-SEP-11
53,860,"todos",21-SEP-11
47,815,"todos",21-AUG-11
54,351,"nocturno",21-SEP-11
37,454,"diurno",29-AUG-11
4,545,"diurno",31-AUG-11
56,910,"todos",23-AUG-11
4,260,"nocturno",15-AUG-11
8,498,"todos",25-SEP-11
18,605,"todos",12-SEP-11
33,764,"todos",25-AUG-11
14,431,"diurno",28-SEP-11
1,925,"todos",30-AUG-11
26,429,"nocturno",14-AUG-11
36,870,"diurno",29-SEP-11
27,226,"diurno",23-SEP-11
45,965,"diurno",23-AUG-11
49,753,"todos",16-AUG-11
6,579,"nocturno",16-SEP-11
44,607,"diurno",25-SEP-11
14,156,"diurno",01-SEP-11
54,383,"diurno",27-AUG-11
39,467,"diurno",25-AUG-11
41,274,"nocturno",17-AUG-11
30,784,"todos",02-SEP-11
14,825,"diurno",11-SEP-11
46,986,"diurno",12-SEP-11
32,951,"nocturno",18-AUG-11
50,842,"diurno",12-SEP-11
7,618,"todos",28-AUG-11
1,988,"todos",27-AUG-11
55,800,"nocturno",02-SEP-11
50,345,"nocturno",20-SEP-11
48,603,"nocturno",19-AUG-11
7,972,"diurno",03-SEP-11
33,675,"nocturno",19-SEP-11
43,633,"nocturno",18-AUG-11
52,291,"todos",16-AUG-11
1,552,"diurno",24-SEP-11
13,727,"nocturno",06-SEP-11
23,136,"todos",21-AUG-11
10,824,"nocturno",29-AUG-11
45,649,"todos",21-SEP-11
3,849,"diurno",26-AUG-11
28,113,"diurno",16-AUG-11
11,44,"diurno",14-SEP-11
1,908,"nocturno",26-SEP-11
10,483,"nocturno",26-AUG-11
7,868,"todos",30-SEP-11
14,141,"todos",07-SEP-11
3,831,"diurno",28-AUG-11
20,258,"nocturno",30-AUG-11
48,936,"todos",11-SEP-11
43,424,"todos",29-AUG-11
33,143,"todos",29-SEP-11
6,987,"nocturno",16-SEP-11
56,743,"todos",20-SEP-11
20,667,"nocturno",19-AUG-11
22,231,"todos",02-SEP-11
17,563,"diurno",21-AUG-11
17,636,"nocturno",14-SEP-11
6,881,"nocturno",27-AUG-11
35,969,"nocturno",04-SEP-11
14,867,"nocturno",21-SEP-11
30,776,"nocturno",11-SEP-11
37,716,"diurno",06-SEP-11
55,510,"diurno",18-SEP-11
1,404,"diurno",17-AUG-11
18,228,"nocturno",17-AUG-11
1,91,"diurno",23-AUG-11
37,260,"todos",19-SEP-11
34,19,"nocturno",16-SEP-11
18,527,"nocturno",20-AUG-11
54,152,"diurno",23-AUG-11
27,280,"todos",14-SEP-11
34,531,"todos",29-AUG-11
35,160,"diurno",16-AUG-11
4,315,"todos",31-AUG-11
9,839,"nocturno",27-AUG-11
56,198,"nocturno",12-SEP-11
18,186,"diurno",16-AUG-11
45,83,"todos",16-SEP-11
13,977,"nocturno",14-SEP-11
50,144,"todos",29-AUG-11
22,401,"nocturno",02-SEP-11
35,643,"todos",19-SEP-11
52,848,"diurno",27-AUG-11
35,148,"diurno",26-AUG-11
14,772,"todos",08-SEP-11
12,11,"nocturno",08-SEP-11
12,582,"todos",02-SEP-11
1,258,"nocturno",02-SEP-11
26,858,"todos",11-SEP-11
51,253,"diurno",29-AUG-11
10,374,"diurno",04-SEP-11
1,765,"nocturno",16-AUG-11
53,685,"diurno",29-AUG-11
36,330,"diurno",25-AUG-11
21,292,"nocturno",24-AUG-11
29,20,"todos",25-SEP-11
20,614,"diurno",21-AUG-11
36,17,"nocturno",19-SEP-11
20,310,"diurno",25-AUG-11
22,597,"diurno",30-SEP-11
16,663,"diurno",14-SEP-11
16,434,"nocturno",25-AUG-11
19,62,"todos",28-SEP-11
50,313,"nocturno",13-SEP-11
15,816,"diurno",19-SEP-11
41,672,"nocturno",22-AUG-11
6,818,"todos",18-SEP-11
13,579,"diurno",28-AUG-11
37,798,"todos",27-AUG-11
52,14,"diurno",08-SEP-11
43,186,"nocturno",28-SEP-11
23,618,"todos",28-AUG-11
29,821,"diurno",01-OCT-11
51,31,"diurno",21-SEP-11
21,17,"todos",20-AUG-11
13,808,"diurno",16-AUG-11
51,607,"todos",18-AUG-11
44,123,"nocturno",07-SEP-11
14,127,"nocturno",02-SEP-11
9,585,"todos",25-AUG-11
48,746,"todos",25-AUG-11
34,3,"nocturno",16-SEP-11
9,824,"nocturno",29-AUG-11
51,549,"diurno",16-SEP-11
27,391,"nocturno",16-SEP-11
53,575,"diurno",30-AUG-11
47,100,"diurno",16-AUG-11
48,305,"nocturno",29-SEP-11
42,34,"diurno",25-AUG-11
21,917,"nocturno",25-AUG-11
53,11,"todos",22-AUG-11
6,780,"todos",14-AUG-11
14,238,"todos",08-SEP-11
8,820,"todos",16-SEP-11
18,474,"todos",25-AUG-11
51,309,"todos",13-SEP-11
40,52,"todos",31-AUG-11
1,541,"diurno",01-SEP-11
41,411,"nocturno",16-AUG-11
11,186,"nocturno",21-SEP-11
1,7,"nocturno",23-AUG-11
4,289,"diurno",18-AUG-11
33,730,"todos",31-AUG-11
45,201,"todos",30-SEP-11
49,219,"diurno",27-AUG-11
8,925,"todos",16-SEP-11
12,675,"diurno",19-SEP-11
49,638,"nocturno",29-AUG-11
43,92,"todos",26-SEP-11
37,393,"nocturno",21-SEP-11
11,998,"nocturno",21-AUG-11
37,253,"todos",16-AUG-11
34,108,"todos",03-SEP-11
10,363,"todos",29-SEP-11
55,502,"nocturno",11-SEP-11
49,715,"todos",18-SEP-11
49,225,"diurno",26-SEP-11
47,606,"nocturno",23-AUG-11
45,416,"nocturno",19-SEP-11
8,40,"diurno",25-AUG-11
1,368,"diurno",26-SEP-11
55,590,"diurno",21-SEP-11
49,126,"diurno",16-AUG-11
7,467,"todos",19-AUG-11
44,518,"diurno",26-AUG-11
43,792,"todos",08-SEP-11
39,745,"todos",26-SEP-11
39,339,"todos",15-AUG-11
30,899,"diurno",28-AUG-11
12,243,"nocturno",25-AUG-11
47,48,"todos",29-SEP-11
48,432,"diurno",02-SEP-11
37,764,"todos",26-AUG-11
1,784,"todos",21-AUG-11
38,228,"diurno",02-SEP-11
39,269,"diurno",04-SEP-11
47,275,"todos",21-AUG-11
42,559,"nocturno",23-AUG-11
44,28,"todos",14-SEP-11
4,903,"todos",19-AUG-11
25,984,"nocturno",25-AUG-11
6,215,"diurno",28-AUG-11
7,697,"nocturno",19-AUG-11
15,677,"diurno",29-AUG-11
55,414,"nocturno",28-AUG-11
16,335,"todos",12-SEP-11
51,314,"nocturno",23-SEP-11
25,447,"todos",23-SEP-11
11,226,"diurno",13-SEP-11
23,592,"nocturno",20-SEP-11
19,939,"todos",30-AUG-11
3,787,"nocturno",21-AUG-11
45,502,"todos",26-SEP-11
18,125,"diurno",17-AUG-11
1,131,"todos",16-SEP-11
7,667,"diurno",08-SEP-11
28,609,"todos",08-SEP-11
7,632,"nocturno",07-SEP-11
21,91,"nocturno",14-SEP-11
35,169,"todos",09-SEP-11
19,699,"diurno",18-SEP-11
17,415,"diurno",08-SEP-11
9,223,"diurno",20-AUG-11
17,625,"diurno",14-AUG-11
36,837,"todos",22-AUG-11
31,552,"nocturno",02-SEP-11
30,481,"nocturno",11-SEP-11
2,907,"nocturno",20-AUG-11
13,749,"todos",27-AUG-11
21,798,"diurno",19-AUG-11
47,96,"todos",24-AUG-11
53,688,"todos",21-AUG-11
56,324,"todos",28-SEP-11
14,997,"nocturno",04-SEP-11
28,653,"todos",01-OCT-11
11,747,"diurno",19-AUG-11
55,838,"todos",20-AUG-11
20,845,"diurno",24-AUG-11
26,105,"diurno",23-AUG-11
24,925,"diurno",08-SEP-11
46,902,"diurno",02-SEP-11
29,833,"todos",26-SEP-11
42,744,"todos",26-SEP-11
31,607,"diurno",18-SEP-11
24,538,"diurno",05-SEP-11
27,673,"diurno",16-AUG-11
52,231,"nocturno",03-SEP-11
15,407,"todos",29-AUG-11
2,760,"diurno",29-AUG-11
22,220,"diurno",04-SEP-11
16,324,"nocturno",23-AUG-11
8,226,"todos",07-SEP-11
26,11,"diurno",07-SEP-11
31,847,"todos",24-AUG-11
32,563,"diurno",31-AUG-11
23,274,"diurno",13-SEP-11
39,842,"todos",11-SEP-11
30,22,"nocturno",26-SEP-11
41,362,"diurno",25-AUG-11
34,103,"nocturno",22-AUG-11
3,534,"diurno",26-SEP-11
27,489,"todos",29-AUG-11
42,370,"nocturno",16-AUG-11
33,618,"todos",14-SEP-11
52,954,"diurno",05-SEP-11
55,201,"todos",23-AUG-11
1,835,"todos",29-AUG-11
43,755,"nocturno",13-SEP-11
1,986,"todos",07-SEP-11
1,74,"nocturno",16-SEP-11
28,462,"diurno",12-SEP-11
41,332,"todos",09-SEP-11
34,398,"diurno",08-SEP-11
43,414,"todos",18-AUG-11
25,178,"nocturno",23-AUG-11
2,133,"nocturno",16-SEP-11
18,488,"nocturno",24-SEP-11
15,601,"todos",12-SEP-11
21,192,"todos",26-AUG-11
44,864,"diurno",27-AUG-11
45,336,"diurno",23-AUG-11
36,677,"nocturno",18-SEP-11
3,900,"nocturno",01-SEP-11
8,197,"todos",23-SEP-11
6,589,"diurno",27-AUG-11
10,932,"diurno",27-AUG-11
48,803,"diurno",11-SEP-11
14,646,"diurno",24-SEP-11
16,16,"diurno",21-AUG-11
37,601,"diurno",14-AUG-11
50,498,"nocturno",29-SEP-11
35,558,"diurno",28-AUG-11
22,920,"diurno",21-SEP-11
3,224,"todos",31-AUG-11
17,331,"diurno",01-OCT-11
22,876,"nocturno",16-AUG-11
49,326,"diurno",12-SEP-11
28,771,"nocturno",25-AUG-11
42,161,"todos",18-AUG-11
1,207,"diurno",24-SEP-11
48,806,"todos",20-SEP-11
31,381,"diurno",26-SEP-11
55,203,"diurno",28-AUG-11
39,420,"diurno",24-AUG-11
1,214,"nocturno",29-SEP-11
34,204,"todos",22-AUG-11
9,45,"todos",28-SEP-11
44,866,"todos",04-SEP-11
16,113,"todos",01-OCT-11
16,109,"todos",26-SEP-11
14,638,"nocturno",02-SEP-11
20,686,"diurno",07-SEP-11
1,450,"diurno",25-SEP-11
21,727,"nocturno",28-AUG-11
48,764,"nocturno",27-AUG-11
32,721,"todos",06-SEP-11
48,940,"todos",23-SEP-11
42,354,"todos",18-AUG-11
26,466,"nocturno",14-AUG-11
13,521,"nocturno",29-SEP-11
11,675,"nocturno",30-SEP-11
39,189,"nocturno",05-SEP-11
10,957,"diurno",16-AUG-11
12,949,"nocturno",14-AUG-11
28,456,"todos",06-SEP-11
23,425,"nocturno",28-SEP-11
31,509,"todos",21-AUG-11
55,883,"nocturno",21-AUG-11
40,350,"nocturno",11-SEP-11
53,694,"todos",25-SEP-11
3,797,"todos",03-SEP-11
56,519,"diurno",24-AUG-11
53,966,"todos",16-AUG-11
3,347,"diurno",25-SEP-11
46,233,"nocturno",25-AUG-11
55,686,"todos",14-SEP-11
26,403,"todos",24-SEP-11
22,898,"todos",19-AUG-11
39,526,"todos",25-SEP-11
56,859,"nocturno",25-AUG-11
45,576,"nocturno",07-SEP-11
18,817,"todos",21-AUG-11
29,100,"todos",01-SEP-11
52,755,"nocturno",01-OCT-11
44,425,"diurno",26-AUG-11
51,325,"todos",05-SEP-11
20,882,"todos",24-AUG-11
10,358,"diurno",23-AUG-11
45,958,"nocturno",21-AUG-11
14,350,"diurno",13-SEP-11
24,704,"todos",26-SEP-11
13,466,"nocturno",24-SEP-11
55,413,"diurno",25-AUG-11
55,316,"nocturno",23-AUG-11
45,545,"diurno",04-SEP-11
42,160,"todos",11-SEP-11
16,129,"todos",19-SEP-11
23,572,"nocturno",16-AUG-11
24,114,"todos",19-SEP-11
54,706,"nocturno",29-AUG-11
43,563,"diurno",16-AUG-11
31,188,"diurno",09-SEP-11
16,799,"todos",19-SEP-11
3,872,"todos",09-SEP-11
17,904,"todos",01-OCT-11
41,979,"nocturno",16-SEP-11
42,174,"nocturno",11-SEP-11
14,351,"nocturno",21-AUG-11
47,436,"diurno",29-SEP-11
41,849,"diurno",16-AUG-11
8,338,"todos",14-AUG-11
52,138,"nocturno",30-AUG-11
16,995,"todos",04-SEP-11
8,349,"nocturno",12-SEP-11
43,622,"diurno",21-AUG-11
25,403,"todos",30-SEP-11
40,32,"nocturno",21-SEP-11
47,966,"nocturno",02-SEP-11
46,127,"diurno",31-AUG-11
8,322,"diurno",24-SEP-11
17,764,"diurno",12-SEP-11
26,633,"diurno",26-AUG-11
53,618,"todos",07-SEP-11
55,382,"diurno",23-SEP-11
25,931,"todos",12-SEP-11
13,954,"todos",05-SEP-11
41,266,"todos",11-SEP-11
1,662,"todos",26-SEP-11
49,647,"diurno",21-AUG-11
43,665,"nocturno",07-SEP-11
40,729,"diurno",22-AUG-11
1,588,"diurno",24-AUG-11
33,846,"nocturno",19-AUG-11
53,803,"diurno",19-SEP-11
22,97,"diurno",21-SEP-11
44,653,"diurno",25-AUG-11
7,830,"todos",01-SEP-11
8,111,"nocturno",25-AUG-11
41,165,"diurno",16-AUG-11
12,622,"nocturno",21-AUG-11
28,416,"diurno",18-SEP-11
20,156,"todos",21-AUG-11
41,569,"nocturno",01-OCT-11
38,694,"todos",12-SEP-11
18,171,"diurno",13-SEP-11
35,676,"nocturno",27-AUG-11
19,264,"diurno",21-AUG-11
37,152,"todos",21-SEP-11
50,257,"diurno",26-SEP-11
21,643,"todos",13-SEP-11
37,845,"nocturno",03-SEP-11
51,973,"nocturno",01-SEP-11
17,368,"diurno",17-AUG-11
15,557,"nocturno",01-OCT-11
15,228,"nocturno",25-SEP-11
1,924,"nocturno",26-AUG-11
30,260,"nocturno",16-SEP-11
37,456,"nocturno",25-AUG-11
53,163,"diurno",16-AUG-11
7,615,"diurno",29-AUG-11
32,388,"diurno",30-AUG-11
32,107,"nocturno",14-SEP-11
16,39,"nocturno",24-SEP-11
23,135,"nocturno",20-AUG-11
12,179,"nocturno",18-AUG-11
15,942,"todos",16-SEP-11
55,71,"diurno",16-AUG-11
18,138,"diurno",16-AUG-11
46,996,"diurno",05-SEP-11
50,37,"diurno",14-SEP-11
14,457,"nocturno",16-AUG-11
46,214,"diurno",04-SEP-11
11,867,"todos",19-SEP-11
32,155,"todos",01-SEP-11
54,758,"nocturno",25-SEP-11
50,385,"diurno",31-AUG-11
30,996,"nocturno",27-AUG-11
48,721,"nocturno",07-SEP-11
37,776,"nocturno",11-SEP-11
1,497,"nocturno",09-SEP-11
53,377,"diurno",14-AUG-11
36,923,"diurno",04-SEP-11
35,954,"nocturno",11-SEP-11
21,935,"diurno",26-SEP-11
8,858,"diurno",18-AUG-11
49,170,"todos",17-AUG-11
24,241,"todos",16-AUG-11
54,946,"diurno",05-SEP-11
16,944,"diurno",26-AUG-11
54,389,"todos",03-SEP-11
48,937,"todos",18-SEP-11
36,49,"todos",22-AUG-11
41,803,"nocturno",02-SEP-11
1,682,"nocturno",30-AUG-11
5,11,"nocturno",02-JUN-11
19,43,"diurno",30-SEP-11
8,13,"nocturno",24-SEP-11
43,819,"diurno",30-SEP-11
29,380,"diurno",07-SEP-11
15,119,"diurno",24-AUG-11
40,517,"diurno",25-AUG-11
15,86,"todos",29-AUG-11
33,678,"nocturno",16-AUG-11
16,314,"nocturno",24-AUG-11
22,970,"todos",30-AUG-11
20,985,"nocturno",09-SEP-11
8,592,"nocturno",14-AUG-11
54,359,"diurno",16-AUG-11
13,34,"nocturno",18-SEP-11
40,681,"todos",12-SEP-11
23,198,"nocturno",20-SEP-11
52,692,"todos",19-SEP-11
5,384,"nocturno",30-APR-11
1,141,"diurno",24-SEP-11
46,813,"nocturno",29-AUG-11
37,652,"diurno",11-SEP-11
54,83,"nocturno",20-AUG-11
23,177,"todos",14-AUG-11
24,208,"nocturno",24-SEP-11
52,795,"nocturno",22-AUG-11
43,275,"todos",16-AUG-11
23,89,"nocturno",01-OCT-11
37,193,"diurno",29-SEP-11
41,713,"todos",01-OCT-11
47,313,"diurno",16-SEP-11
44,67,"nocturno",04-SEP-11
1,915,"todos",25-AUG-11
31,159,"diurno",25-AUG-11
22,814,"nocturno",11-SEP-11
45,80,"todos",15-AUG-11
27,594,"todos",18-AUG-11
53,680,"todos",15-AUG-11
45,212,"todos",25-AUG-11
15,362,"nocturno",20-SEP-11
29,992,"diurno",18-SEP-11
1,89,"todos",29-SEP-11
46,260,"todos",16-SEP-11
53,3,"nocturno",14-AUG-11
48,101,"todos",28-AUG-11
43,286,"diurno",03-SEP-11
34,30,"todos",24-AUG-11
24,125,"diurno",22-AUG-11
45,548,"nocturno",20-AUG-11
56,929,"diurno",06-SEP-11
45,860,"diurno",11-SEP-11
35,168,"todos",12-SEP-11
7,239,"diurno",01-OCT-11
4,453,"todos",14-AUG-11
8,799,"todos",16-AUG-11
39,765,"diurno",04-SEP-11
43,702,"todos",17-AUG-11
30,927,"todos",23-AUG-11
25,1,"todos",17-AUG-11
26,722,"todos",22-AUG-11
49,677,"todos",08-SEP-11
9,277,"nocturno",16-AUG-11
51,603,"diurno",02-SEP-11
25,589,"todos",23-AUG-11
45,414,"nocturno",09-SEP-11
11,336,"nocturno",05-SEP-11
44,586,"todos",09-SEP-11
8,330,"diurno",04-SEP-11
27,190,"todos",16-SEP-11
53,260,"todos",25-SEP-11
37,86,"todos",07-SEP-11
13,596,"diurno",08-SEP-11
33,566,"diurno",16-AUG-11
19,779,"diurno",19-AUG-11
37,694,"diurno",16-AUG-11
44,89,"todos",21-SEP-11
10,849,"diurno",18-AUG-11
17,800,"todos",06-SEP-11
31,226,"todos",25-AUG-11
21,527,"todos",11-SEP-11
10,290,"nocturno",23-AUG-11
39,861,"todos",19-AUG-11
46,458,"todos",18-AUG-11
29,707,"diurno",20-AUG-11
11,489,"diurno",19-AUG-11
17,348,"diurno",02-SEP-11
36,164,"nocturno",03-SEP-11
17,545,"nocturno",06-SEP-11
10,28,"diurno",14-AUG-11
15,213,"diurno",27-AUG-11
28,926,"nocturno",08-SEP-11
9,404,"todos",05-SEP-11
31,273,"nocturno",25-SEP-11
38,393,"nocturno",30-SEP-11
17,875,"diurno",12-SEP-11
53,950,"diurno",11-SEP-11
7,673,"todos",31-AUG-11
55,882,"todos",13-SEP-11
1,193,"nocturno",05-SEP-11
45,305,"todos",08-SEP-11
16,338,"nocturno",20-AUG-11
13,432,"nocturno",31-AUG-11
28,415,"diurno",01-OCT-11
2,859,"diurno",11-SEP-11
23,507,"nocturno",29-AUG-11
36,626,"todos",29-AUG-11
48,579,"nocturno",29-AUG-11
48,523,"nocturno",14-SEP-11
4,943,"diurno",25-AUG-11
21,434,"nocturno",11-SEP-11
33,969,"nocturno",30-AUG-11
40,695,"nocturno",29-AUG-11
13,157,"todos",02-SEP-11
50,729,"todos",16-SEP-11
55,960,"todos",16-AUG-11
17,464,"nocturno",05-SEP-11
51,987,"nocturno",11-SEP-11
29,284,"diurno",31-AUG-11
6,457,"diurno",29-AUG-11
22,522,"todos",30-SEP-11
46,34,"todos",26-AUG-11
31,740,"diurno",05-SEP-11
24,434,"nocturno",21-AUG-11
44,311,"diurno",01-OCT-11
42,423,"diurno",02-SEP-11
34,47,"diurno",16-AUG-11
38,75,"diurno",25-AUG-11
29,881,"todos",12-SEP-11
32,440,"diurno",28-AUG-11
22,869,"nocturno",25-AUG-11
26,996,"nocturno",30-SEP-11
10,981,"todos",02-SEP-11
1,494,"diurno",06-SEP-11
51,483,"diurno",03-SEP-11
16,95,"nocturno",24-SEP-11
14,866,"todos",03-SEP-11
21,933,"diurno",28-SEP-11
50,623,"nocturno",19-AUG-11
56,462,"diurno",22-AUG-11
40,329,"todos",29-AUG-11
42,220,"todos",23-AUG-11
50,821,"diurno",21-SEP-11
50,917,"todos",23-AUG-11
34,455,"diurno",16-SEP-11
12,933,"nocturno",31-AUG-11
22,703,"nocturno",02-SEP-11
8,635,"todos",20-AUG-11
55,597,"todos",11-SEP-11
32,135,"todos",25-AUG-11
35,768,"todos",05-SEP-11
3,362,"nocturno",11-SEP-11
37,83,"diurno",23-SEP-11
1,580,"todos",03-SEP-11
27,140,"nocturno",08-SEP-11
16,738,"nocturno",21-SEP-11
25,126,"nocturno",02-SEP-11
26,269,"diurno",15-AUG-11
3,540,"nocturno",06-SEP-11
11,952,"todos",23-AUG-11
30,423,"diurno",14-AUG-11
35,871,"nocturno",22-AUG-11
52,414,"nocturno",16-AUG-11
49,142,"nocturno",23-SEP-11
25,401,"nocturno",19-AUG-11
14,107,"diurno",09-SEP-11
39,112,"diurno",16-SEP-11
42,143,"nocturno",16-AUG-11
4,366,"nocturno",24-AUG-11
44,217,"todos",24-AUG-11
39,734,"todos",30-SEP-11
17,253,"todos",26-AUG-11
37,2,"diurno",19-SEP-11
13,835,"diurno",16-SEP-11
19,995,"nocturno",25-SEP-11
19,31,"nocturno",05-SEP-11
31,2,"diurno",27-AUG-11
35,928,"diurno",13-SEP-11
